qna_no,q_title,q_content,a_content,q_date,manager,a_date
4311,제네시스 G80 매물 상담,제네시스 G80 매물 중 차량번호 48가 9741에 대한 상담 및 문의,"<p>안녕하세요 한영길 고객님.</p><p>문의주신 G80 48가9741 차량 확인하여 상담연락드리겠습니다.</p><p>담당매니저가 요청하신 오후 2시경 연락드리오니, 전화받으신 후 궁금하신사항 문의주세요 :)</p><p>오늘도 즐거운하루 보내세요, 감사합니다.</p>",오전 10:54:37,kimjr1201,오전 11:08:38
4299,장기렌트 한 차량 타이어 마모가 심한데 교체도 해주시나요?,<p>장기렌트 이용한지 3개월 정도 榮쨉. 타이어 앞쪽이 마모가 심하더라구요.</p><p><br></p><p>교체를 해 주시는지요?</p>,"<p>안녕하세요 박건준 고객님.</p><p>렌터카의 경우 정비불포함 상품인점 안내드립니다.</p><p>고객님께서 계약중인 렌터카가 1개월 이내의 계약건이라면 오토플러스에서 교체가능하며,</p><p>출고 후 1개월 경과 후 부터는 자가경비로 처리가 필요한점 안내드립니다.</p><p>차량 확인 후 1개월 이내 계약건이라면 1544-2277 &gt; 2 &gt; 2 으로 연락주시면 절차 안내드리겠습니다.</p><p>감사합니다.</p>",오후 3:10:23,kimjr1201,오후 3:18:01
4282,유튜브 라이브 방송중 스팅어 상담 남겨놓으라고해서 남겨둡니다.,현 K5 DL3 시그니처등급 타고 있습니다. 20.07월 등록 키로수 9000km. 대차로 진행할려고 합니다,,오후 5:34:22,kimjr1201,오전 9:43:43
4281,장기렌트카,보증금선수금 없는 렌트차량원함,"<p>안녕하세요 이일구 고객님.</p><p>보증금 및 선수금 없는 렌트차량 문의주셨으나, 렌터카 계약시 1개월 렌트료가 보증금선납되며 렌트종료 후 반납되는 조건으로 진행되는점 안내드립니다.</p><p>우선 담당매니저를 통하여&nbsp;<span style=""color: rgb(51, 51, 51); letter-spacing: 0px;"">더 뉴쏘렌토&nbsp;</span><span style=""color: rgb(51, 51, 51); letter-spacing: 0px;"">140로4528 차량상담드릴 수 있도록 하겠습니다. (해당차량은 장기렌트 불가차량)</span></p><p><span style=""color: rgb(51, 51, 51); letter-spacing: 0px;"">담당매니저 상담시 차량구매 또는 렌터카 관련하여 내용 문의주시면 되십니다.</span></p><p><span style=""color: rgb(51, 51, 51); letter-spacing: 0px;"">감사합니다.</span></p>",오전 10:29:59,kimjr1201,오전 9:40:51
4276,차량가격이 궁금합니다.,가격이 착하면 준비화면 끝나기 전에라도 계약하고싶습니다.,"<p>안녕하세요 박상철 고객님.</p><p>문의주신 EQ900 55조2321 차량가격 확인하여 연락드리겠습니다.</p><p>담당매니저 통하여 가격 및 차량정보 상세상담드리오니 궁굼하신 내역 문의주시면 되십니다.</p><p>오늘도 즐거운 하루 시작보내세요, 감사합니다.</p>",오후 9:17:35,kimjr1201,오전 9:22:01
4275,320d xdrive  17년 11월식  검정   으로 대차 가능할까요?,좀 큰 차로 바꾸고 싶어서요 비용 안들이고 ...,"<p>안녕하세요 강상구 고객님.<br>그랜저IG&nbsp;<span style=""color: rgb(51, 51, 51);"">202무6405, 현재 판매중인 차량으로 확인됩니다.</span></p><p><span style=""color: rgb(51, 51, 51);"">대차진행가능하며, 고객님 차량번호 확인 후 대차안내드리겠습니다.</span></p><p><font color=""#333333"">담당매니저 연락드리니, 고객님 차량정보(차종, 번호, 색상, 연식, 주행거리, 사고여부 등) 확인부탁드립니다.</font></p><p>오늘도 즐거운 하루 보내세요, 감사합니다.</p>",오후 8:13:22,kimjr1201,오전 9:12:48
4259,쏘나타 DN8 옵션 문의(문자 연락 부탁 드립니다),"쏘나타 DN8 300고3094 차량에 혹시 현대스마트센스 옵션이 추가되어 있는지 문의 드립니다.
(업무시간이라 문자로 연락 부탁 드립니다.)","<p>안녕하세요 김민호 고객님.</p><p>문의주신 신형 쏘나타 300고3094, 확인하니 출고옵션으로 멀티미디어내비플러스2+현대스마트센스2, 빌트인캠 옵션이 포함된것으로 확인됩니다.</p><p>우선 차량 상세관련하여 담당매니저 명함과 상담관련 문자드리오니, 문자받으신 후 상담시간 조율 후 궁금한점 문의주시면 되십니다.</p><p>오늘도 즐거운하루 보내세요, 감사합니다.</p>",오전 8:42:34,kimjr1201,오전 9:23:35
4254,케이파이브 출고옵션,"신차급
신형K5
2.0 가솔린 프레스티지
출고옵션이어떻게되나요
드와포함인가요
사야되는데 ㅠ 하

그리고 옵션에서 블박이나 네비고르는거 상위기종 업글시고르는거죠?
네비나 블박없는차량이 어디있어요
궁금해서 문의해봅니다","<p>안녕하세요 구세훈 고객님.</p><p>문의주신 신형K5 291나6964, 6965 /&nbsp;<span style=""font-family: &quot;Noto Sans KR Regular&quot;, &quot;Noto Serif&quot;, LexiSaebomR, sans-serif; letter-spacing: 0px;"">UVO내비,드라이브와이즈 옵션 포함으로 확인됩니다.&nbsp;</span></p><p><span style=""font-family: &quot;Noto Sans KR Regular&quot;, &quot;Noto Serif&quot;, LexiSaebomR, sans-serif; letter-spacing: 0px;"">네비게이션은 기본포함이며, 블랙박스는 미포함으로 선택옵션으로 추가구매가능한점 안내드립니다.</span></p><p><span style=""font-family: &quot;Noto Sans KR Regular&quot;, &quot;Noto Serif&quot;, LexiSaebomR, sans-serif; letter-spacing: 0px;"">선택형주문 STEP 2. 편의 옵션에서 브랜드별 선택가능한점 안내드립니다.</span></p><p><span style=""font-family: &quot;Noto Sans KR Regular&quot;, &quot;Noto Serif&quot;, LexiSaebomR, sans-serif; letter-spacing: 0px;"">관련하여 담당매니저 상담연락 드리니, 전화받으신 후 추가궁금하신점 문의주시면 빠른확인도와드리겠습니다.</span></p><p><span style=""font-family: &quot;Noto Sans KR Regular&quot;, &quot;Noto Serif&quot;, LexiSaebomR, sans-serif; letter-spacing: 0px;"">감사합니다.</span></p>",오후 6:14:03,kimjr1201,오전 9:16:51
4230,안녕하세요 리스 상담 받고싶습니다,"현재 채무 불 이행자 입니다 
그래도 선납금을 90퍼 이상 지불하고 탈수잇는지 상담받고싶습니다",<p>안녕하세요 안소현 고객님.</p><p>우선 차량담당매니저를 통하여 리스가능여부 안내드리겠습니다.</p><p>전화받으신 후 궁금하신점 문의주시면 빠른확인드리겠습니다.</p><p>오늘도 즐거운하루 보내세요.</p><p>감사합니다.</p>,오후 3:50:46,kimjr1201,오후 3:57:19
4216,차를 직접 보고 싶습니다,"LF쏘나타 뉴라이즈 177더3304 또는 119고7345 차량을 직접 보고 싶은데 어떻게 해야 하나요?
문자는 아무때나 답장 주셔도 됩니다.","<p>안녕하세요 김민호 고객님.</p><p>LF쏘나타 177더3304 /&nbsp;<span style=""color: rgb(51, 51, 51); letter-spacing: 0px;"">119고7345 모두 리본카차량으로, 현재 인천ATC(인천 서구 정서진로70)인 오토플러스 정비센터에 위치해있습니다.</span></p><p><span style=""color: rgb(51, 51, 51); letter-spacing: 0px;"">방문하여 차량상담가능하나, 정비센터이기때문에 차량담당매니저와 조율없이 바로 내방은 어려운점 안내드립니다.</span></p><p><span style=""color: rgb(51, 51, 51); letter-spacing: 0px;"">금일 차량담당매니저를 통한 방문일정 조율 및 차량상담으로 연락드리오니, 연락받으신 후 추가 궁금하신점 문의주시면 되십니다.</span></p><p><span style=""color: rgb(51, 51, 51); letter-spacing: 0px;"">오늘도 활기찬 하루시작 보내세요, 감사합니다 :)</span></p>",오전 7:31:11,kimjr1201,오전 9:02:17
4213,포인트 내역 및 찾아가는 케어서비스 잔여횟수,"<p>안녕하세요. 리본카에서 차량 구매한 권형준이라고합니다.</p><p>지금 홈페이지 상에 포인트가 51만 포인트로 나와있는데, 제가 두번째 구매할때 50만포인트를 사용한것으로 알고있는데<span style=""background-color: rgb(255, 255, 0);""> 반영이 안된건지, 두번째 구매에도 적립이 되어 사용이 가능한건지 문의 드립니다.</span></p><p>아울러 28모 5655 아반떼 차량과 113다 1764 그랜저 차량의 <span style=""background-color: rgb(255, 255, 0);"">찾아가는 케어서비스 잔여횟수와 엔진오일 교체 잔여횟수</span> 문의 드립니다.</p>","<p><span style=""color: rgb(51, 51, 51);"">안녕하세요 권형준 고객님.</span></p><p><span style=""color: rgb(51, 51, 51);"">포인트 확인시, 두번째 차량 구매시점에 시스템 문제로 바로 소멸처리되지 않았던것으로 확인되어?</span><span style=""color: rgb(51, 51, 51); letter-spacing: 0px;"">현재 사용완료처리중에 있습니다.</span></p><p><span style=""color: rgb(51, 51, 51); letter-spacing: 0px;"">혼동을 드려 죄송한말씀드리며,?</span><span style=""color: rgb(51, 51, 51); letter-spacing: 0px;"">금일내로 처리완료토록 하겠습니다.</span></p><p><font color=""#333333"">차량 구매 시 505,000원 사용하셨으며, 추가 5,000원은 소멸예정일 2023-08-12 인점 안내드립니다. (찾케서 유상구매시 사용가능)</font></p><p><span style=""color: rgb(51, 51, 51);"">20년 2월에 구매한 아반떼AD는 찾아가는케어서비스 2회 모두 소진(20.06 구매건까지는 찾아가는케어서비스 2회 적용)하였으며,</span></p><p><span style=""color: rgb(51, 51, 51);"">20년 7월에 구매한 그랜저IG 113다1764 는 찾케서 3회 중 2회 사용, 1회 잔여된것으로 확인됩니다.</span></p><p><span style=""color: rgb(51, 51, 51);"">엔진오일 교체잔여건에 관하여 확인중에 있으며, 빠른시간내로 재답변드리오니 조금의 시간 양해부탁드립니다.</span></p><p><span style=""color: rgb(51, 51, 51);"">갑자기 더워진날씨 유의하시고, 오늘도 즐거운하루시간 보내시길 바랍니다.?</span></p><p><font color=""#333333"">감사합니다.</font></p><p><font color=""#333333""><br></font></p><p><font color=""#333333"">오래기다려주셔서 감사합니다.</font></p><p><span style=""color: rgb(51, 51, 51);"">그랜저IG 113다1764차량 현재 찾아가는케어서비스 1회 남았으며, 지난 점검시 촬영에 도움을 주셔서 엔진오일교환 1회권 추가지원드릴 예정입니다 :)</span></p><p><span style=""color: rgb(51, 51, 51);"">서비스 유효기간인 2023-07-29 이전까지 사용하시면 되며, 편하신 일정 맞추어 연락주시면 방문점검 + 엔진오일교환 도와드리겠습니다.</span></p><p><span style=""color: rgb(51, 51, 51);"">추가 궁금하신 사항 있다면 언제든지 문의주세요.</span></p><p><span style=""color: rgb(51, 51, 51);"">감사합니다.</span><br></p>",오후 3:30:44,kimjr1201,오후 5:57:56
4193,케어서비스문의,안녕하세요 리본카구매시 제공되는 찾아가는케어서비스는 어떻게 진행되는건지 궁금해요 제가 이렇게 따로 신청연락을 남기면 되는건가요?! 아님 따로 연락이 오는건지...?,,오후 5:34:00,kimjr1201,오전 9:15:18
4175,k3 렌트 문의입니다,1년정도 렌트 하고싶은데 가격이랑 견적문의 합니다,"<p>안녕하세요 김종우 고객님.</p><p>금일 문의주신 더 뉴K3 56하5078 차량 확인도와드리겠습니다.</p><p>계약기간 12개월 월 렌트료 39만원이며, 1개월치 렌트료 보증금 선납 후 이용하는 조건인점 선안내드립니다.</p><p>심사승인 및 계약절차 관련하여 렌터카 담당자 연락드리오니, 연락받으신 후 상담진행하시면 되십니다,</p><p>감사합니다.</p>",오후 6:25:12,kimjr1201,오전 9:06:08
4173,이번에 리본카 구매하였는데 안심출고하고 방문점검 관련 문의드립니다~,"<p>안심출고에서 각종 소모품류 교환주기 안내해준다고 되있는 부분이랑<span style=""font-family: inherit; font-style: inherit; font-variant-ligatures: inherit; font-variant-caps: inherit; font-weight: inherit;"">&nbsp;방문점검은 어떻게 이용해야하는지 궁금합니다!</span></p>","<p>안녕하세요 박준영 고객님.</p><p>구매하신 올 뉴말리부 300고3022 차량, 안심출고서비스로 엔진오일 교환, 워셔액 보충, 부동액 보충, 에어필터 교환되어 출고된 것으로 확인됩니다.</p><p>(소모품 점검 항목 - 엔진륨 및 오일류, 워셔액 및 냉각수, 타이어 공기압, 등화장치 등)</p><p>안심출고서비스의 경우 차량 방문 인도 시 서비스 담당자가 차량 확인하여 인도 전 함께 안내드리는데, 탁송수령의 경우 현장 안내가 어려운 점 양해 부탁드립니다.</p><p>차후, 찾아가는방문케어서비스 받으실 때, 서비스 담당자에게 차량 상태 점검받은 후 소모품 상태에 대하여 안내 받으실 수 있습니다.</p><p>찾아가는케어서비스의 경우 보통 구매하신지 6개월 내로 점검 문자드리고 있으며, 필요하시다면 그 이전에라도 언제든지 고객센터를 통하여 신청이 가능합니다.</p><p>추가적인 궁금한 점이 있다면 언제든지 문의주세요.</p><p>감사합니다.</p>",오후 3:40:45,kimjr1201,오후 4:48:05
4168,리스 가능여부,개인회생 중이면 리스 불가하죠?,<p>안녕하세요 김재환 고객님.</p><p>리스심사관련하여 우선 세일즈매니저 상담연락드리겠습니다.</p><p>전화받으신 후 상세문의주시면 되십니다.</p><p>감사합니다.</p>,오후 1:22:24,kimjr1201,오후 1:47:28
4143,차량상담,.,,오후 4:54:27,kimjr1201,오전 9:33:01
4142,배송비 문의,김해시 어방동이면 배송비가 얼마나나올까요?,"<p>안녕하세요 이원호 고객님.</p><p>문의주신 더 뉴니로 69너1447 차량 현재 인천ATC(오토플러스 자체 정비센터)에 위치해있으며,</p><p>경남 김해까지 탁송료 154,000원 + 유류비 발생하는점 안내드립니다.</p><p>우선 차량 상세상담으로 세일즈매니저 금일 오후 5시경 전화상담도와드리겠습니다 :)</p><p>통화시 차량 및 계약절차 관련 궁금하신점 문의주시면 빠른안내드리겠습니다.</p><p>감사합니다.</p>",오전 10:23:35,kimjr1201,오전 9:32:52
4141,그랜저 2017년2월  그랑블루 문의,"보험이력3건있던데 완전무사고 차량입니까?
경남 김해까지 탁송비는 얼마나될까요?
현금구매조건 네고가능한가요?","<p>안녕하세요 김보근 고객님.</p><p>문의주신 그랜저IG 202무6405 차량 확인하니&nbsp;성능점검기록부상 주요골격부위에 판금, 용접수리 및 교환 등의 이력이 없는 차량으로 확인되고 있습니다.</p><p>단순사고이력만 있는 무사고차량인점 안내드립니다.</p><p>차량 위치는 인천ATC(오토플러스 자체 정비센터)에 있으며, 경남김해까지 탁송료 154,000원 + 유류비 발생합니다.</p><p>리본카의 경우 차량정찰제를 운영하고 현금결제도 마찬가지로 홈페이지 표기금액과 동일한점 안내드립니다.</p><p>우선 세일즈매니저를 통한 상담연락드리오니, 차량상세 및 구매 계약관련 궁금하신점 문의주시면 빠른안내도와드리겠습니다.</p><p>감사합니다.</p>",오후 9:05:08,kimjr1201,오전 9:17:14
4133,신형 쏘나타 G2.0 스마트,"신형 쏘나타 G2.0 스마트 제 2021021959호

출고 옵션 궁금합니다
출고되면 얼마정도 뒤에 받을수있나요?",<p>안녕하세요 구세훈 고객님.</p><p>문의주신 신형 쏘나타 348마7341 차량 출고옵션으로 '8인치디오디오' 포함된것으로 확인됩니다.</p><p>출고일자 관련하여 세일즈매니저 연락드리겠습니다.</p><p>통화하신 후 차량 상세 및 구매절차 문의주시면 되십니다.</p><p>감사합니다.</p>,오전 12:23:16,kimjr1201,오전 9:06:57
4130,오토플러스 부산점 위치를....,"저가 곳 차량을 구입할건데 지점 위치가 어떻게 되나요.
직접 갔어 상담을 받아보고 그곳 구경도 할겸 한번 찾아가 볼려
합니다. 위치 부탁드립니다.","<p>안녕하세요 최태수 고객님.</p><p>부산지점 주소 링크발송드리니 방문상담에 참고부탁드립니다 :)</p><p><a href=""https://www.autoplus.co.kr/acar/APIF010001?brCd=00033"" target=""_blank"">https://www.autoplus.co.kr/acar/APIF010001?brCd=00033</a></p><p>(부산시 해운대구 반송로 513번길 10, 원파크 217호 / 051-951-0797)</p><p>감사합니다.</p>",오후 4:55:46,kimjr1201,오후 5:10:17
4119,문의,<p>판매완료되었다고 화면이 안봐줘서 그러는데 </p><p>성능점검기록표라던가 AQI점검항목이라던가 등등 이런것들 다시 확인하고 싶어요 !<br></p>,"<p>안녕하세요 이윤서 고객님.</p><p><span style=""color: rgb(51, 51, 51);"">성능점검기록표, AQI점검항목 관련하여 재안내드리겠습니다.</span></p><p>차량번호 30부8236 올 뉴모닝차량 구매하신부분 확인되었으며, 세일즈매니저를 통하여 점검리포트 발송드리겠습니다.</p><p>연락받으시고 필요서류 및 추가궁금하신점 문의주시면 되십니다.</p><p>오늘도 즐거운 하루 보내세요.</p><p>감사합니다.</p>",오후 5:59:55,kimjr1201,오전 9:53:29
4118,차량구매 관련 상담,차량구매 관련 상담 희망합니다,"<p>안녕하세요 이명식 고객님.</p><p>문의주신 올 뉴쏘렌토 187버1448 차량 구매상담으로 세일즈매니저 연락드리겠습니다.</p><p>금일 오후 1시경 전화드릴 예정이니, 연락시 상세상담요청주시면 되십니다.</p><p>오늘도 즐거운하루보내세요.</p><p>감사합니다 ^^</p>",오후 2:36:32,kimjr1201,오전 9:48:27
4117,오프라인매장에서 차량구매해서 구매 이력 등록 요청드립니다.,"<p>2021년 5월 1일 매장방문해서 현금 결제 했구요<br>5월 4일 탁송으로 받았습니다.</p><p>3년 3회 방문 서비스 받기위해서 온라인으로 등록을 해야하는거 같기도 하고<br>구매이력에도 나오게 등록을 하려구 요청드립니다</p><p><span style=""font-family: inherit; font-style: inherit; font-variant-ligatures: inherit; font-variant-caps: inherit; font-weight: inherit;""><br>차량 : LF 쏘나타 16년3월식&nbsp; 59서 4486</span><br></p><p>차량금액 : 1220만원</p><p>현장 구매자 명의 : 우영주&nbsp;</p><p><br></p>","<p>안녕하세요 김시몬 고객님.</p><p>요청주신 차량정보 확인하였으며, 금일 중 고객님 아이디로 구매이력 등록도와드리겠습니다.</p><p>오늘도 즐거운 하루보내세요.</p><p>감사합니다 ^^</p>",오후 12:54:12,kimjr1201,오전 9:44:53
4110,할부구매,"현재저신용장기렌트사용하고있는데
7월이만기입니다
반납하고 새로구입하려해서  알아봅니다
신용이어느징도돼야하는지요
나이는34세이고  연봉4천정도하는
회사원직장인입니다
문자로필요서류와  답장남겨주세요
SUV는없는지요",,오후 6:43:28,kimjr1201,오전 8:58:26
